U1/V,IA/nA
16.84,0.78
16.87,0.78
16.89,0.78
16.92,0.76
16.94,0.76
16.97,0.76
16.99,0.75
17.02,0.74
17.04,0.73
17.06,0.73
17.09,0.72
17.11,0.7
17.14,0.7
17.16,0.69
17.19,0.69
17.21,0.67
17.24,0.67
17.26,0.67
17.28,0.66
17.31,0.64
17.33,0.63
17.36,0.63
17.38,0.62
17.41,0.61
17.43,0.6
17.46,0.6
17.48,0.59
17.5,0.58
17.53,0.57
17.55,0.57
17.58,0.56
17.6,0.54
17.63,0.54
17.65,0.54
17.68,0.53
17.7,0.52
17.72,0.51
17.75,0.51
17.77,0.5
17.8,0.49
17.82,0.48
17.85,0.48
17.87,0.47
17.89,0.46
17.92,0.45
17.94,0.45
17.97,0.44
17.99,0.43
18.02,0.42
18.04,0.42
18.07,0.41
18.09,0.4
18.11,0.39
18.14,0.39
18.16,0.39
18.19,0.38
18.21,0.37
18.24,0.37
18.26,0.36
18.29,0.35
18.31,0.34
18.33,0.34
18.36,0.33
18.38,0.32
18.41,0.32
18.43,0.31
18.46,0.3
18.48,0.3
18.51,0.29
18.53,0.29
18.55,0.28
18.58,0.27
18.6,0.27
18.63,0.26
18.65,0.25
18.68,0.25
18.7,0.25
18.73,0.24
18.75,0.23
18.77,0.23
18.8,0.23
18.82,0.22
18.85,0.21
18.87,0.21
18.9,0.21
18.92,0.21
18.94,0.2
18.97,0.2
18.99,0.2
19.02,0.19
19.04,0.18
19.07,0.18
19.09,0.18
19.12,0.18
19.14,0.17
19.16,0.16
19.19,0.17
19.21,0.17
19.24,0.15
19.26,0.15
19.29,0.16
19.31,0.15
19.34,0.14
19.36,0.14
19.38,0.14
19.41,0.14
19.43,0.13
19.46,0.13
19.48,0.13
19.51,0.13
19.53,0.11
19.56,0.11
19.58,0.12
19.6,0.11
19.63,0.1
19.65,0.1
19.68,0.1
19.7,0.1
19.73,0.09
19.75,0.09
19.78,0.09
19.8,0.09
19.82,0.08
19.85,0.08
19.87,0.08
19.9,0.08
19.92,0.07
19.95,0.07
19.97,0.07
19.99,0.07
20.02,0.06
20.04,0.06
20.07,0.06
20.09,0.06
20.12,0.05
20.14,0.05
20.17,0.05
20.19,0.05
20.21,0.05
20.24,0.04
20.26,0.04
20.29,0.04
20.31,0.04
20.34,0.04
20.36,0.04
20.39,0.04
20.41,0.04
20.43,0.04
20.46,0.04
20.48,0.04
20.51,0.04
20.53,0.04
20.56,0.04
20.58,0.04
20.61,0.04
20.63,0.04
20.65,0.04
20.68,0.04
20.7,0.04
20.73,0.04
20.75,0.04
20.78,0.04
20.8,0.05
20.83,0.05
20.85,0.04
20.87,0.04
20.9,0.04
20.92,0.05
20.95,0.05
20.97,0.04
21,0.05
21.02,0.05
21.05,0.04
21.07,0.04
21.09,0.04
21.12,0.04
21.14,0.04
21.17,0.04
21.19,0.04
21.22,0.04
21.24,0.04
21.26,0.04
21.29,0.04
21.31,0.04
21.34,0.04
21.36,0.03
21.39,0.04
21.41,0.04
21.44,0.04
21.46,0.03
21.48,0.03
21.51,0.03
21.53,0.03
21.56,0.03
21.58,0.03
21.61,0.03
21.63,0.03
21.66,0.02
21.68,0.02
21.7,0.02
21.73,0.02
21.75,0.02
21.78,0.02
21.8,0.02
21.83,0.02
21.85,0.02
21.88,0.02
21.9,0.02
21.92,0.02
21.95,0.02
21.97,0.02
22,0.02
22.02,0.02
22.05,0.02
22.07,0.03
22.1,0.03
22.12,0.03
22.14,0.03
22.17,0.04
22.19,0.04
22.22,0.04
22.24,0.04
22.27,0.05
22.29,0.05
22.31,0.05
22.34,0.06
22.36,0.07
22.39,0.07
22.41,0.07
22.44,0.08
22.46,0.09
22.49,0.09
22.51,0.09
22.53,0.11
22.56,0.12
22.58,0.12
22.61,0.13
22.63,0.14
22.66,0.15
22.68,0.15
22.71,0.16
22.73,0.18
22.75,0.19
22.78,0.19
22.8,0.2
22.83,0.21
22.85,0.23
22.88,0.23
22.9,0.24
22.93,0.25
22.95,0.27
22.97,0.28
23,0.28
23.02,0.3
23.05,0.32
23.07,0.33
23.1,0.33
23.12,0.35
23.15,0.37
23.17,0.38
23.19,0.38
23.22,0.4
23.24,0.42
23.27,0.43
23.29,0.43
23.32,0.45
23.34,0.47
23.36,0.48
23.39,0.48
23.41,0.49
23.44,0.51
23.46,0.52
23.49,0.52
23.51,0.54
23.54,0.56
23.56,0.57
23.58,0.57
23.61,0.58
23.63,0.6
23.66,0.6
23.68,0.61
23.71,0.63
23.73,0.64
23.76,0.65
23.78,0.66
23.8,0.67
23.83,0.69
23.85,0.69
23.88,0.7
23.9,0.71
23.93,0.72
23.95,0.73
23.98,0.74
24,0.76
24.02,0.77
24.05,0.77
24.07,0.79
24.1,0.8
24.12,0.8
24.15,0.81
24.17,0.82
24.2,0.84
24.22,0.84
24.24,0.85
24.27,0.86
24.29,0.88
24.32,0.88
24.34,0.89
24.37,0.9
24.39,0.92
24.42,0.92
24.44,0.92
24.46,0.94
24.49,0.96
24.51,0.96
24.54,0.96
24.56,0.97
24.59,0.99
24.61,0.99
24.63,0.99
24.66,1
24.68,1.02
24.71,1.02
24.73,1.03
24.76,1.04
24.78,1.06
24.81,1.06
24.83,1.06
24.85,1.07
24.88,1.09
24.9,1.09
24.93,1.09
24.95,1.1
24.98,1.12
25,1.12
25.03,1.12
25.05,1.13
25.07,1.15
25.1,1.15
25.12,1.15
25.15,1.16
25.17,1.18
25.2,1.18
25.22,1.18
25.25,1.2
25.27,1.21
25.29,1.21
25.32,1.22
25.34,1.22
25.37,1.24
25.39,1.24
25.42,1.24
25.44,1.25
25.47,1.26
25.49,1.27
25.51,1.27
25.54,1.28
25.56,1.29
25.59,1.29
25.61,1.3
25.64,1.31
25.66,1.31
25.68,1.32
